Blank	Body	2R8	AN0	AR1	AR2	BN6	BT2	GV1	KH3	KL0	KN6	KR4	LP2	QM1	Unknown	Total 
GT-R (Series 1)	Coupe	2	161	-	-	143	-	-	404	1340	254	-	911	1835	-	5050
V-Spec (Series 1)	Coupe	3	142	-	-	118	-	-	289	1169	248	-	805	1322	-	4096
V-Spec N1 (Series 1)	Coupe	-	-	-	-	-	-	-	-	-	-	-	-	55	-	55
Unknown (Series 1)	Coupe	-	-	-	-	-	-	-	-	-	-	-	-	-	13	13
GT-R (Series 2)	Coupe	-	-	46	-	69	-	-	168	-	52	559	259	1138	-	2291
GT-R LM Limited	Coupe	-	-	-	-	-	86	-	-	-	-	-	-	-	-	86
V-Spec (Series 2)	Coupe	-	-	35	-	40	-	-	89	-	38	295	185	521	-	1203
V-Spec LM Limited	Coupe	-	-	-	-	-	102	-	-	-	-	-	-	-	-	102
V-Spec N1 (Series 2)	Coupe	-	-	-	-	-	-	-	-	-	-	-	-	21	-	21
GT-R (Series 3)	Coupe	-	-	45	8	53	-	13	106	-	40	529	176	988	-	1958
V-Spec (Series 3)	Coupe	-	-	36	4	40	-	9	99	-	37	355	118	571	-	1269
V-Spec N1 (Series 3)	Coupe	-	-	-	-	-	-	-	-	-	-	-	-	11	-	11
Autech Version (40th Anniversary)	Sedan	-	-	-	-	-	-	-	-	-	1	253	43	119	-	416
V-Spec (Great Britain)	Coupe	-	-	-	-	33	-	-	10	-	-	41	13	-	-	97
Total 	   	5	303	162	12	492	188	22	1165	2509	670	2032	2510	6581	13	16668